Hauptgruppe;Mittelgruppe;Gruppenadresse;Name;DPT;IDM-Objekt;Register;Richtung
Wärmepumpe;System;8/0/1;WP Außentemperatur;9.001;1;outdoor_temp;lesen
Wärmepumpe;System;8/0/2;WP Gemittelte Außentemperatur;9.001;2;outdoor_temp_avg;lesen
Wärmepumpe;System;8/0/3;WP Interne Meldung;7.001;3;internal_message;lesen
Wärmepumpe;System;8/0/4;WP Systembetriebsart;5.010;4;system_mode;lesen/schreiben
Wärmepumpe;System;8/0/5;WP Smart Grid Status;7.001;5;smart_grid_status;lesen
Wärmepumpe;System;8/0/6;WP Wärmespeichertemperatur;9.001;6;storage_temp;lesen
Wärmepumpe;System;8/0/7;WP Kältespeichertemperatur;9.001;7;cold_storage_temp;lesen
Wärmepumpe;Warmwasser;8/0/8;WP Trinkwassererwärmer unten;9.001;8;dhw_temp_bottom;lesen
Wärmepumpe;Warmwasser;8/0/9;WP Trinkwassererwärmer oben;9.001;9;dhw_temp_top;lesen
Wärmepumpe;Warmwasser;8/0/20;WP Warmwasser Zapftemperatur;9.001;20;dhw_tapping_temp;lesen
Wärmepumpe;Warmwasser;8/0/21;WP Warmwasser Sollwert;9.001;21;dhw_setpoint;lesen/schreiben
Wärmepumpe;Wärmepumpe;8/0/30;WP Wärmepumpen Vorlauftemperatur;9.001;30;hp_flow_temp;lesen
Wärmepumpe;Wärmepumpe;8/0/31;WP Wärmepumpen Rücklauftemperatur;9.001;31;hp_return_temp;lesen
Wärmepumpe;Wärmepumpe;8/0/32;WP HGL Vorlauftemperatur B35;9.001;32;hgl_flow_temp;lesen
Wärmepumpe;Wärmepumpe;8/0/33;WP Wärmequelleneintritt;9.001;33;heat_source_inlet_temp;lesen
Wärmepumpe;Wärmepumpe;8/0/34;WP Wärmequellenaustritt;9.001;34;heat_source_outlet_temp;lesen
Wärmepumpe;Wärmepumpe;8/0/35;WP Luftansaugtemperatur;9.001;35;air_intake_temp;lesen
Wärmepumpe;Wärmepumpe;8/0/36;WP Luftwärmetauscher Temperatur;9.001;36;air_heat_exchanger_temp;lesen
Wärmepumpe;Wärmepumpe;8/0/38;WP Ladefühler Temperatur;9.001;38;charging_sensor_temp;lesen
Wärmepumpe;Wärmepumpe;8/0/40;WP Vorlauftemperatur Wärmesenke;9.001;40;heat_sink_flow_temp;lesen
Wärmepumpe;Wärmepumpe;8/0/41;WP Durchfluss Wärmesenke (B2);7.001;41;heat_sink_flow_rate;lesen
Wärmepumpe;Wärmepumpe;8/0/42;WP Ladepumpe Wärmesenke;5.001;42;heat_sink_charging_pump_signal;lesen
Wärmepumpe;Wärmepumpe;8/0/48;WP Grundwassereintrittstemperatur 1;9.001;48;groundwater_inlet_temp_1;lesen
Wärmepumpe;Wärmepumpe;8/0/49;WP Grundwassereintrittstemperatur 2;9.001;49;groundwater_inlet_temp_2;lesen
Wärmepumpe;Wärmepumpe;8/0/50;WP Wärmepumpen Betriebsart;7.001;50;hp_operating_mode;lesen
Wärmepumpe;Wärmepumpe;8/0/51;WP Heizanforderung;7.001;51;heating_demand;lesen
Wärmepumpe;Wärmepumpe;8/0/52;WP Kühlanforderung;7.001;52;cooling_demand;lesen
Wärmepumpe;Wärmepumpe;8/0/53;WP Warmwasseranforderung;7.001;53;dhw_demand;lesen
Wärmepumpe;Wärmepumpe;8/0/60;WP Verdichter 1;7.001;60;compressor_status_1;lesen
Wärmepumpe;Wärmepumpe;8/0/61;WP Verdichter 2;7.001;61;compressor_status_2;lesen
Wärmepumpe;Wärmepumpe;8/0/62;WP Verdichter 3;7.001;62;compressor_status_3;lesen
Wärmepumpe;Wärmepumpe;8/0/63;WP Verdichter 4;7.001;63;compressor_status_4;lesen
Wärmepumpe;Wärmepumpe;8/0/78;WP Zirkulationspumpe M64;7.001;78;circulation_pump;lesen
Wärmepumpe;Wärmepumpe;8/0/80;WP Bivalenzpunkt 1 (2. WE);8.001;80;bivalence_point_1_2nd_gen;lesen/schreiben
Wärmepumpe;Wärmepumpe;8/0/81;WP Bivalenzpunkt 2 (2. WE);8.001;81;bivalence_point_2_2nd_gen;lesen/schreiben
Wärmepumpe;Wärmepumpe;8/0/82;WP Bivalenzpunkt 1 (3. WE);8.001;82;bivalence_point_1_3rd_gen;lesen/schreiben
Wärmepumpe;Wärmepumpe;8/0/83;WP Bivalenzpunkt 2 (3. WE);8.001;83;bivalence_point_2_3rd_gen;lesen/schreiben
Wärmepumpe;Kaskade;8/0/97;WP Kaskade verfügbar Heizen;7.001;97;cascade_available_heating;lesen
Wärmepumpe;Kaskade;8/0/98;WP Kaskade verfügbar Kühlen;7.001;98;cascade_available_cooling;lesen
Wärmepumpe;Kaskade;8/0/99;WP Kaskade verfügbar Warmwasser;7.001;99;cascade_available_dhw;lesen
Wärmepumpe;Kaskade;8/0/100;WP Kaskade in Betrieb Heizen;7.001;100;cascade_running_heating;lesen
Wärmepumpe;Kaskade;8/0/101;WP Kaskade in Betrieb Kühlen;7.001;101;cascade_running_cooling;lesen
Wärmepumpe;Kaskade;8/0/102;WP Kaskade in Betrieb Warmwasser;7.001;102;cascade_running_dhw;lesen
Wärmepumpe;Kaskade;8/0/150;WP Kaskade Angeforderte Heiztemperatur;9.001;150;cascade_req_heating_temp;lesen
Wärmepumpe;Kaskade;8/0/151;WP Kaskade Angeforderte Kühltemperatur;9.001;151;cascade_req_cooling_temp;lesen
